91
45
0	6	5	0	1	8	5	10	3	9	6	10	2	10	1	0	7	2	5	6	0	8	6	0	7	8	8	0	5	0	10	3	3	4	1	5	6	2	3	8	0	0	6	0	3	1	0	9	4	9	3	0	5	4	6	1	7	10	0	2	3	0	8	1	6	0	0	5	1	0	9	0	0	0	0	3	0	0	7	8	1	6	9	0	0	8	3	2	10	0	1
0	8	4	8	1	1	5	7	2	10	7	6	5	10	7	4	6	3	4	9	1	2	9	4	10	4	8	1	5	6	3	10	2	5	1	4	1	2	2	10	1	1	2	5	8	6	2	9	10	7	6	4	3	3	1	2	9	8	10	10	5	10	4	4	7	2	9	10	7	6	7	10	1	1	5	9	2	1	8	4	7	8	9	9	10	3	3	8	10	4	1
1	3	2	3	4
2	2	16	17	
3	3	5	14	15
4	3	6	8	12
5	1	9		
6	3	7	20	29
7	1	10		
8	3	11	21	22
9	1	74		
10	2	13	41	
11	3	19	25	37
12	2	24	36	
13	2	32	85	
14	3	39	50	59
15	3	18	23	47
16	1	55		
17	3	26	30	80
18	1	82		
19	1	27		
20	1	38		
21	2	40	75	
22	1	60		
23	1	31		
24	1	28		
25	1	84		
26	3	44	48	65
27	1	63		
28	2	35	38	
29	3	33	34	54
30	1	46		
31	2	42	43	
32	1	49		
33	3	51	61	84
34	1	53		
35	1	89		
36	1	37		
37	2	73	86	
38	1	52		
39	3	68	79	87
40	1	45		
41	2	57	58	
42	1	44		
43	1	71		
44	1	78		
45	2	57	83	
46	3	64	67	69
47	2	49	62	
48	2	62	64	
49	1	66		
50	1	90		
51	2	72	76	
52	1	56		
53	2	76	78	
54	1	67		
55	1	64		
56	1	71		
57	1	88		
58	1	77		
59	1	81		
60	1	62		
61	1	77		
62	1	69		
63	1	68		
64	1	85		
65	1	70		
66	1	84		
67	1	77		
68	1	90		
69	3	72	74	76
70	1	78		
71	1	83		
72	1	81		
73	2	74	82	
74	2	81	90	
75	2	80	86	
76	1	87		
77	1	87		
78	1	79		
79	1	82		
80	1	91		
81	1	89		
82	1	83		
83	1	85		
84	1	88		
85	1	89		
86	1	91		
87	1	88		
88	1	91		
89	0			
90	0			
91	0
